HOUSE NUMBER,STREET,ZIPCODE,PROPERTY CLASS CODE DESCRIPTION,FRONT,DEPTH,HOUSE NUMBER STREET ZIPCODE
786,CARROLL,14210,TWO FAMILY DWELLING,25.00,96.00,786 CARROLL 14210
83,EMSLIE,14210,TWO FAMILY DWELLING,25.85,106.00,83 EMSLIE 14210
687,EAGLE EAST,14210,RESIDENTIAL VACANT LAND,41.50,180.00,687 EAGLE EAST 14210
125,JEFFERSON,14210,ONE FAMILY DWELLING,24.00,50.00,125 JEFFERSON 14210
683,EAGLE EAST,14210,RESIDENTIAL VACANT LAND,50.50,118.00,683 EAGLE EAST 14210
53,CORNELIA,14210,RESIDENTIAL VACANT LAND,29.50,55.00,53 CORNELIA 14210
831,EAGLE EAST,14210,DOWNTOWN ROW TYPE (DETACHED),30.00,102.00,831 EAGLE EAST 14210
839,DIVISION SOUTH,14210,RESIDENTIAL VACANT LAND,31.83,111.00,839 DIVISION SOUTH 14210
809,EAGLE EAST,14210,RESIDENTIAL VACANT LAND,25.00,120.00,809 EAGLE EAST 14210
523,SMITH,14210,ONE FAMILY DWELLING,35.00,89.86,523 SMITH 14210
378,FULTON,14210,ONE FAMILY DWELLING,33.33,151.00,378 FULTON 14210
763,DIVISION NORTH,14210,ONE FAMILY DWELLING,25.00,105.00,763 DIVISION NORTH 14210
581,DIVISION SOUTH,14210,ONE FAMILY DWELLING,66.00,120.00,581 DIVISION SOUTH 14210
785,DIVISION SOUTH,14210,MULTIPLE RESIDENCES,25.00,146.00,785 DIVISION SOUTH 14210
767,DIVISION NORTH,14210,MULTIPLE RESIDENCES,50.00,105.00,767 DIVISION NORTH 14210
98,FILLMORE,14210,RESIDENTIAL VACANT LAND,30.00,84.00,98 FILLMORE 14210
787,DIVISION SOUTH,14210,RESIDENTIAL VACANT LAND,25.00,146.00,787 DIVISION SOUTH 14210
540,PERRY,14210,RESIDENTIAL VACANT LAND,28.00,115.00,540 PERRY 14210
827,DIVISION SOUTH,14210,ONE FAMILY DWELLING,25.23,111.00,827 DIVISION SOUTH 14210
571,FULTON,14210,ONE FAMILY DWELLING,50.60,103.00,571 FULTON 14210
25,SEYMOUR,14210,ONE FAMILY DWELLING,64.76,106.27,25 SEYMOUR 14210
373,WILLIAM,14203,ONE FAMILY DWELLING,43.00,196.00,373 WILLIAM 14203
391,WILLIAM,14203,ONE FAMILY DWELLING,43.00,239.84,391 WILLIAM 14203
230,MIAMI,14204,MULTIPLE RESIDENCES,32.08,185.00,230 MIAMI 14204
760,SENECA,14210,DOWNTOWN ROW TYPE (DETACHED),66.00,235.00,760 SENECA 14210
171,ALABAMA,14204,ONE FAMILY DWELLING,50.00,102.00,171 ALABAMA 14204
128,ALABAMA,14204,TWO FAMILY DWELLING,26.70,77.00,128 ALABAMA 14204
91,ELK,14210,RESIDENTIAL VACANT LAND,30.00,83.00,91 ELK 14210
130,ALABAMA,14204,TWO FAMILY DWELLING,26.10,77.00,130 ALABAMA 14204
55,CHICAGO,14204,MANUFACTURING & PROCESSING,184.50,152.00,55 CHICAGO 14204
